KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
POLYBUSD-10,1633046400000,67320000,111800000,59360000,70770000,11056974460000000,1635724799999,8918813278218000,399037,5504928530000000,4434756842750000,0,21796557680000000,-10739583220000000,3450000
UTKBUSD-10,1633046400000,34110000,49000000,33790000,39060000,6882527500000000,1635724799999,2782462229620000,188136,3312255900000000,1341100502310000,0,17498996700000000,-10616469200000000,4950000
SYSBTC-10,1633046400000,642,1228,430,522,31763062700000000,1635724799999,232856899342,378138,15259328000000000,112884563999,0,42277040200000000,-10513977500000000,-120
1INCHUPUSDT-10,1633046400000,3070000,25832100,3034700,10918200,123483842116000000,1635724799999,8643549916159550,429000,63514229708000000,4446630003530140,0,133988668605000000,-10504826489000000,7848200
WTCUSDT-10,1633046400000,88720000,114640000,85050000,98430000,13569814000000000,1635724799999,13446197743150000,568676,6758067500000000,6705488406310000,0,23919480957000000,-10349666957000000,9710000
IOSTBNB-10,1633046400000,14028,14910,8872,9469,21893175400000000,1635724799999,2537376982134,23764,11821633000000000,1355536943718,0,31926175000000000,-10032999600000000,-4559
TRUUSDT-10,1633046400000,44120000,73400000,40670000,59440000,64298193600000000,1635724799999,35964394395718800,1607445,32681211743000000,18322373056893900,0,74153569639000000,-9855376039000000,15320000
ELFETH-10,1633046400000,21110,21850,12410,13520,3947311500000000,1635724799999,732298291230,53610,1856605100000000,346737520410,0,13603351400000000,-9656039900000000,-7590
STMXBNB-10,1633046400000,6703,10027,5453,6196,10216003100000000,1635724799999,744934829079,14138,4793294300000000,351320974656,0,19391483000000000,-9175479900000000,-507
POWRBTC-10,1633046400000,696,1069,521,606,21715017700000000,1635724799999,146916341476,302622,10825934900000000,73822473008,0,30653227800000000,-8938210100000000,-90
IOTXETH-10,1633046400000,2015,2519,1414,1676,38092853300000000,1635724799999,713602190663,76192,18170248300000000,340092525116,0,46955225500000000,-8862372200000000,-339
CTXCBTC-10,1633046400000,433,512,318,342,5919258300000000,1635724799999,23258042796,66705,2789017900000000,11048556492,0,14720862800000000,-8801604500000000,-91
ZILUSDT-10,1633046400000,8579000,12500000,8414000,11233000,764337163930000000,1635724799999,77349959805054200,2562118,379935839160000000,38468966928066400,0,773105848540000000,-8768684610000000,2654000
MITHBNB-10,1633046400000,10770,12730,8880,9530,11961357200000000,1635724799999,1286246200570,19198,5958588800000000,641242524300,0,20708954000000000,-8747596800000000,-1240
OMBTC-10,1633046400000,500,565,351,370,9313009500000000,1635724799999,40048002071,82797,4308243300000000,18665634338,0,17732113600000000,-8419104100000000,-130
UTKBTC-10,1633046400000,778,815,591,635,9382564800000000,1635724799999,65033832657,205532,4571004900000000,31793788241,0,17689324600000000,-8306759800000000,-143
UFTBUSD-10,1633046400000,90210000,125000000,89870000,99980000,7068238000000000,1635724799999,7464225066020000,447019,3381243000000000,3575853846710000,0,15209483276000000,-8141245276000000,9770000
COTIBNB-10,1633046400000,160650,160790,96200,122480,5810488200000000,1635724799999,6984916980800,83519,2437132100000000,2929241060160,0,13900396300000000,-8089908100000000,-38170
CHRBUSD-10,1633046400000,29060000,60000000,28430000,43840000,23684582700000000,1635724799999,9170207315490000,341101,11904411200000000,4616422629750000,0,31709209100000000,-8024626400000000,14780000
PHAUSDT-10,1633046400000,63070000,109100000,62780000,76010000,26915723200000000,1635724799999,21474206148300000,623273,13384256400000000,10682721736580000,0,34788900900000000,-7873177700000000,12940000
ADAETH-10,1633046400000,70480,70560,44500,45840,18596320860000000,1635724799999,10486596089229,669966,9257883440000000,5210443195808,0,26352090570000000,-7755769710000000,-24640
GLMBTC-10,1633046400000,1129,1259,789,882,7815863500000000,1635724799999,76260546276,135823,3748487600000000,36900953021,0,15544223600000000,-7728360100000000,-247
IRISBTC-10,1633046400000,229,248,170,189,28017456900000000,1635724799999,55432906890,106586,12993719200000000,25845228855,0,35454037600000000,-7436580700000000,-40
XRPBTC-10,1633046400000,2176,2261,1628,1816,151472608500000000,1635724799999,2909825139751,1762146,75336478400000000,1448144737047,0,158789247000000000,-7316638500000000,-360
PHABUSD-10,1633046400000,63030000,108730000,62750000,76080000,8322886500000000,1635724799999,6700400542630000,318494,4066334700000000,3275298335380000,0,15551079187000000,-7228192687000000,13050000
VETGBP-10,1633046400000,7163000,10546000,7092000,9680000,24181379214000000,1635724799999,2107141652793040,59036,11984072475000000,1048692487419870,0,31336752422000000,-7155373208000000,2517000
IOTABTC-10,1633046400000,2630,2949,1872,2415,15332886600000000,1635724799999,359742231351,493907,7494230600000000,176187006111,0,22404149000000000,-7071262400000000,-215
WANUSDT-10,1633046400000,75750000,103610000,75120000,93940000,8934651500000000,1635724799999,8269411830200000,403451,4487972500000000,4157128476560000,0,15912531847000000,-6977880347000000,18190000
VTHOBNB-10,1633046400000,2181,2633,1732,1852,151166500500000000,1635724799999,3246327046877,50352,74656654100000000,1603904874997,0,158063277100000000,-6896776600000000,-329
ARDRBTC-10,1633046400000,641,878,470,558,9642432300000000,1635724799999,57906296369,90276,4647402500000000,28011239244,0,16408848100000000,-6766415800000000,-83
XTZBTC-10,1633046400000,13848,19128,9600,10358,6657583629000000,1635724799999,901394290477,976457,3253359634000000,440649251639,0,13408904032000000,-6751320403000000,-3490
TFUELBTC-10,1633046400000,598,640,426,576,46453809400000000,1635724799999,248081188195,321398,22529968300000000,120474750893,0,53034264400000000,-6580455000000000,-22
LTOBUSD-10,1633046400000,24920000,34000000,24350000,29100000,11449786700000000,1635724799999,3242749775020000,181724,5615724000000000,1590536322600000,0,17718013900000000,-6268227200000000,4180000
AIONUSDT-10,1633046400000,14090000,21600000,13880000,18840000,73486059600000000,1635724799999,12741217285920000,1122089,36918385800000000,6411407363110000,0,79608343964000000,-6122284364000000,4750000
FIOBUSD-10,1633046400000,16650000,23800000,16330000,18330000,13774701100000000,1635724799999,2685623332470000,168377,6807834200000000,1328169378680000,0,19890705762000000,-6116004662000000,1680000
FETBNB-10,1633046400000,186400,209900,137500,148500,2242651200000000,1635724799999,3771210766200,50341,1067147400000000,1799616851300,0,8240911000000000,-5998259800000000,-37900
FTMBNB-10,1633046400000,311230,763580,306370,546440,8130701500000000,1635724799999,40978108943360,329644,4047283600000000,20372976232420,0,14044878600000000,-5914177100000000,235210
AIONBTC-10,1633046400000,321,359,267,307,11596918700000000,1635724799999,35464552359,112363,5765294000000000,17688265903,0,17431237200000000,-5834318500000000,-14
BTSBTC-10,1633046400000,90,96,72,83,35022400300000000,1635724799999,28972174353,66726,15904749500000000,13224110553,0,40759661200000000,-5737260900000000,-7
ADXETH-10,1633046400000,14040,44880,12090,21370,14286421600000000,1635724799999,2401273574150,166389,7221003800000000,1221720273480,0,20016318400000000,-5729896800000000,7330
TFUELUSDT-10,1633046400000,26210000,39680000,25820000,35330000,150806675600000000,1635724799999,46636896228550000,2008494,76344355400000000,23564585274320000,0,156460012470000000,-5653336870000000,9120000
JSTBTC-10,1633046400000,146,177,117,142,16855463400000000,1635724799999,23505650263,46113,8137425900000000,11381436489,0,22503214100000000,-5647750700000000,-4
